PR Number,Title,Author,State,Created At,Closed At,Merged,Additions,Deletions,Changed Files,Total Lines Changed
4867,BF: fixed long wait times causing windows to mark psychopy as unrespo…,maqadri,closed,2022-05-30T15:53:36Z,2022-07-13T11:52:23Z,FALSE,36,24,1,60
4866,FF: Sync dialog is not translated,hsogo,closed,2022-05-30T12:01:45Z,2022-06-06T16:02:58Z,TRUE,331,312,3,643
4865,BF: Fixes to Pavlovia sync to make it handle errors more elegantly,TEParsons,closed,2022-05-30T09:59:12Z,2022-06-06T14:56:53Z,TRUE,127,56,4,183
4864,TEST: Add generic test for boilerplate minimum requirements,TEParsons,closed,2022-05-30T09:31:57Z,2022-06-08T15:46:06Z,TRUE,65,10,10,75
4862,Fixing waitRelease=False behavior for ptb,lboel,closed,2022-05-27T19:04:44Z,2022-06-06T16:04:31Z,TRUE,9,1,2,10
4861,Merge release again,peircej,closed,2022-05-27T15:48:06Z,2022-06-08T08:29:46Z,TRUE,18,3,3,21
4860,FF: update quest.js url to use lib.pavlovia.org/vendors,peircej,closed,2022-05-27T13:20:16Z,2022-06-06T16:06:51Z,TRUE,65,18,6,83
4859,Merge release into dev,TEParsons,closed,2022-05-27T12:59:40Z,2022-05-27T14:21:06Z,TRUE,910,187,41,1097
4858,BF: Fixes to Movie boilerplate,TEParsons,closed,2022-05-27T10:27:25Z,2022-05-27T13:01:30Z,TRUE,6,1,1,7
4857,NF: Audio recording with camera stream,mdcutone,closed,2022-05-27T04:30:43Z,2022-05-27T14:20:28Z,TRUE,217,83,2,300
4856,Merge release into dev (second attempt),peircej,closed,2022-05-26T20:31:44Z,2022-05-27T14:06:35Z,FALSE,915,190,42,1105
4855,Merge release fixes back into dev,peircej,closed,2022-05-26T16:06:19Z,2022-05-26T16:55:40Z,FALSE,834,187,39,1021
4854,BF: Add ori and opacity to Slider JS boilerplate,TEParsons,closed,2022-05-26T15:17:38Z,2022-05-26T16:04:03Z,TRUE,2,2,1,4
4853,Merge release into dev,peircej,closed,2022-05-26T15:05:14Z,2022-05-26T16:05:52Z,FALSE,834,187,39,1021
4852,BF: JS keyword 'await' was not styled in Coder,TEParsons,closed,2022-05-25T10:16:37Z,2022-05-26T14:23:44Z,TRUE,1,1,1,2
4851,Merge release branch fixes into dev,peircej,closed,2022-05-25T09:08:46Z,2022-05-26T14:43:12Z,FALSE,830,184,38,1014
4849,NF: added support for automatically retrieving QUEST.js for multistair handler,peircej,closed,2022-05-24T16:09:15Z,2022-05-24T16:43:27Z,TRUE,33,10,2,43
4848,DOCS: update version to 2022.1.4,peircej,closed,2022-05-23T15:50:44Z,2022-05-23T15:50:51Z,TRUE,39,2,2,41
4847,TEST: Add local-only tests for Webcam class,TEParsons,closed,2022-05-23T10:28:16Z,2022-05-27T12:40:02Z,FALSE,3900,456,16,4356
4846,BF: fix waitRelease=False behaviour for iohubKeyboard in hardware.keyboard,lboel,closed,2022-05-23T07:49:59Z,2022-05-27T14:26:06Z,TRUE,1052,326,74,1378
4844,TEST: Add screenshot comparison to circle radius test,TEParsons,closed,2022-05-20T14:34:27Z,2022-05-25T10:17:12Z,FALSE,27,6,5,33
4843,BF: Reinstate original getProject method,TEParsons,closed,2022-05-20T12:41:36Z,2022-05-24T11:23:24Z,TRUE,65,13,1,78
4842,BF: Fix references to pavlovia buttons,TEParsons,closed,2022-05-20T09:39:04Z,2022-05-26T14:44:27Z,TRUE,12,10,2,22
4841,ENH: Add required fonts to resources list when compiling to JS,TEParsons,closed,2022-05-18T13:30:05Z,2022-06-24T15:17:14Z,FALSE,130,1,4,131
4840,FF: choice labels are not translated,hsogo,closed,2022-05-18T09:43:41Z,2022-05-19T10:52:11Z,TRUE,187,67,4,254
